"RASKY, CONNIE",urn:nimsp:transaction,18396
"WHEELER JR, AL",urn:nimsp:transaction,81418
Herbert John Spiro (R),urn:fec:transaction,N00006022
"DOYLE, MARK",urn:nimsp:transaction,139539
"TUNG, MARY BETH",urn:nimsp:transaction,20158
"THOMPSON, JOSEPH M",urn:nimsp:transaction,19976
"RICE, TAFFY",urn:nimsp:transaction,18525
Ken Diamondstone (D),urn:fec:transaction,N00001096
"BRADY, DAN",urn:nimsp:transaction,11978
Beverly Elaine Hermon (R),urn:fec:transaction,N00006462
Edward S Jerse (D),urn:fec:transaction,N00026300
"YOUNG, DAVID III",urn:nimsp:transaction,67491
Peter Navarro (D),urn:fec:transaction,N00007023
RICHARD S (BUCK) Obrien (D),urn:fec:transaction,N00004641
Patrick E Landry (I),urn:fec:transaction,N00009662
"WERNER, CINDY",urn:nimsp:transaction,116685
"BERENS, BILL",urn:nimsp:transaction,4510
"WHEELER, KEITH",urn:nimsp:transaction,116695
"CANTRILL III, J C",urn:nimsp:transaction,54351
"VELARDE, RANDY A",urn:nimsp:transaction,92627
"CRAWFORD, KRIS",urn:nimsp:transaction,8292
"MOLL, ANNE M",urn:nimsp:transaction,27924
"ALTMAN, JOHN",urn:nimsp:transaction,2765
"KELLY, KYANNE",urn:nimsp:transaction,77270
"BYRD, JAMES",urn:nimsp:transaction,110342
Elizabeth Colon (D),urn:fec:transaction,N00000914
"SAFFER, CHRISTOPHER",urn:nimsp:transaction,60996
"DOGGETT, STUART H",urn:nimsp:transaction,78119
"BRADLEY, RUSSELL",urn:nimsp:transaction,77705
"DESTEFANO, STEPHEN T",urn:nimsp:transaction,1001
"POCOCK III, EDWARD S",urn:nimsp:transaction,32814
"ESTRADA, RALPH CARLOS",urn:nimsp:transaction,13712
"CARRON, MARK J",urn:nimsp:transaction,3455
"DICKMAN, CARL J",urn:nimsp:transaction,13364
"JOHNSON, CHARLIE",urn:nimsp:transaction,72857
"MONTANARO, FRANK A",urn:nimsp:transaction,17289
"DIAL, GERALD",urn:nimsp:transaction,1213
"WEIR, JIM",urn:nimsp:transaction,27979
"SMITH, MARIANNE BOPP",urn:nimsp:transaction,27824
"LINSCOTT, JOHN H",urn:nimsp:transaction,63087
Eston Wycliffe Sr Orr (D),urn:fec:transaction,N00010548
"NICHOLS, WAYNE",urn:nimsp:transaction,4248
"ZIRKLE, FREDERICK ANTHONY TONY",urn:nimsp:transaction,50188
"SHAW, JAMES S",urn:nimsp:transaction,2037
"SAENZ, NELLIE A",urn:nimsp:transaction,67016
"JEEVES, COLLEEN JOY",urn:nimsp:transaction,35555
James C Leventis (D),urn:fec:transaction,N00012256
"LEE, HOWARD N",urn:nimsp:transaction,16216
"GREESON, TODD",urn:nimsp:transaction,3210
"MACHADO, GERARD (GERRY)",urn:nimsp:transaction,27207
George John Tablack (D),urn:fec:transaction,N00009702
"HARRIS, GEORGE",urn:nimsp:transaction,94228
"THOMPSON, L E (LES)",urn:nimsp:transaction,25758
"SCOTT, FLORENCE",urn:nimsp:transaction,138178
Lilliana Belardo De O'Neal (R),urn:fec:transaction,N00025657
"SIPES, PETER T",urn:nimsp:transaction,63401
"PINO, JEFFREY A",urn:nimsp:transaction,90518
Felix J Grucci Jr (R),urn:fec:transaction,N00012774
"SMITH, JOHN L",urn:nimsp:transaction,125582
"FULTON, TONY E",urn:nimsp:transaction,14076
"FORD, ROBERT",urn:nimsp:transaction,515
"PENDZINSKI, RAY",urn:nimsp:transaction,139496
"HABETLER, STEVE",urn:nimsp:transaction,66130
"COE, HENRY",urn:nimsp:transaction,150
DRONENBURG,urn:nimsp:transaction,28333
"LUGOSSY, GILBERT W",urn:nimsp:transaction,90532
"HARDEMON, ROY",urn:nimsp:transaction,14729
John K Lindsey (R),urn:fec:transaction,N00013120
"PETTIGREW, JOHN T",urn:nimsp:transaction,18095
Craig W Duehring (R),urn:fec:transaction,N00004540
"HAWKINSON, CARL E",urn:nimsp:transaction,14855
"DELLA SILVA, JAMES V",urn:nimsp:transaction,134773
"DAVIDSON, PAM",urn:nimsp:transaction,37838
"VASCONCELLOS, JOHN",urn:nimsp:transaction,20262
Ed O'Reilly (D),urn:fec:transaction,N00029198
"POLITO, KARYN",urn:nimsp:transaction,137798
"LAINE, CAROLYN",urn:nimsp:transaction,8554
"SPEARMAN, TRYON",urn:nimsp:transaction,38574
"ALCON, ELISEO LEE",urn:nimsp:transaction,9564
Robert M Levy (R),urn:fec:transaction,N00025101
"VANCE, MITCH",urn:nimsp:transaction,83492
"MASELLI, CHRISTOPHER B",urn:nimsp:transaction,8824
Gilbert J Dinello (R),urn:fec:transaction,N00003936
"PURCELL, WILLIAM R",urn:nimsp:transaction,18311
"THOMPSON FRIEND, YVONNE",urn:nimsp:transaction,19963
"MARTIN, ROBERT (BOB)",urn:nimsp:transaction,25842
"FISK JR, ROBERT F",urn:nimsp:transaction,13876
"BARRY, JACK",urn:nimsp:transaction,133250
"WASSERBURGER, JEFF",urn:nimsp:transaction,169
"RAYHONS, HENRY",urn:nimsp:transaction,2655
"BROWN, KEVIN R",urn:nimsp:transaction,49454
"TUMLIN, STEVE",urn:nimsp:transaction,4723
"SINNOTT, LENEE",urn:nimsp:transaction,42401
Susan S Engeleiter (R),urn:fec:transaction,N00004283
"WILLIAMS, PHIL",urn:nimsp:transaction,138977
"BIUNDO, MICHAEL (MIKE)",urn:nimsp:transaction,6169
"WATKINS, WILLIAM",urn:nimsp:transaction,67371
"GRUNDBERG, BETTY",urn:nimsp:transaction,14540
Peter Cappuccilli Jr (R),urn:fec:transaction,N00030058
"DAVIS, PAUL",urn:nimsp:transaction,5065
"CHIPMAN, RALPH D",urn:nimsp:transaction,118447
"SKILLING, LIAM",urn:nimsp:transaction,41468
"GIBSON, DARRELL",urn:nimsp:transaction,54480
"MCGILLICUDDY, MAREN",urn:nimsp:transaction,63160
"WILLIAMS, BOB",urn:nimsp:transaction,6270
"GOODLETTE, J DUDLEY",urn:nimsp:transaction,3306
Samuel S Beard (D),urn:fec:transaction,N00001653
"KING, TOM",urn:nimsp:transaction,118795
"WEBER, DON W",urn:nimsp:transaction,47624
Phil Roe (R),urn:fec:transaction,N00028463
"MCKIBBIN, G NICK",urn:nimsp:transaction,103313
"SCOTT, EDDIE",urn:nimsp:transaction,56902
"LUNA, FRED",urn:nimsp:transaction,1335
"RICHARD, CHRISTOPHER EUGENE",urn:nimsp:transaction,137951
"FONTANA, STEPHEN A",urn:nimsp:transaction,2909
Marsha Jean Murphy (D),urn:fec:transaction,N00005114
"LEE, PETE",urn:nimsp:transaction,30508
"HOWE, TOM",urn:nimsp:transaction,80758
"METSKER, RONNIE",urn:nimsp:transaction,8949
"GARCIA, THERESA",urn:nimsp:transaction,46948
"SAYLER, GEORGE",urn:nimsp:transaction,4890
"HURLEY, RICH",urn:nimsp:transaction,84445
"RIDDICK, WINSTON W",urn:nimsp:transaction,56867
"ROBINSON, JONATHAN",urn:nimsp:transaction,18641
"DONOVAN, LES",urn:nimsp:transaction,1662
"HALEY, NIKKI",urn:nimsp:transaction,6845
"SUGRUE, DAN",urn:nimsp:transaction,139596
"SPOTTED EAGLE, FAITH",urn:nimsp:transaction,112826
"MAISH, TED",urn:nimsp:transaction,25635
"HOOKS, EDWARD K",urn:nimsp:transaction,108478
"MORONEY, RICH",urn:nimsp:transaction,42391
"MCLNTYRE, MATT",urn:nimsp:transaction,128113
"BULLARD, NOLAN",urn:nimsp:transaction,101317
"ROBINSON, BILL",urn:nimsp:transaction,94514
"RANDALL, BILLY",urn:nimsp:transaction,18379
"MOSES, CARL",urn:nimsp:transaction,2257
Mary Margaret Collins (R),urn:fec:transaction,N00002826
Al Hanson (D),urn:fec:transaction,N00012186
"MORRISON, CHARLES",urn:nimsp:transaction,99190
"COOK, TIM",urn:nimsp:transaction,12879
"MUMMA, CHRISTINE",urn:nimsp:transaction,81023
"MACKAY, BUDDY & DANTZLER, RICK",urn:nimsp:transaction,35281
"KARROW, MARCIA A",urn:nimsp:transaction,7630
"REDD, WALLACE",urn:nimsp:transaction,114287
"PRYOR, WILLIAM LEONARD",urn:nimsp:transaction,81113
"LUKER, JIM",urn:nimsp:transaction,3963
"KONECNIK, WILLIAM (BILL)",urn:nimsp:transaction,15959
"CRABTREE, RICHARD A",urn:nimsp:transaction,62668
"CAMP, RANDY",urn:nimsp:transaction,113846
"RIOS, BENJAMIN B",urn:nimsp:transaction,18583
"LEGG II, ROBERT J",urn:nimsp:transaction,125171
"HOLLOWELL, DAN",urn:nimsp:transaction,44343
"WILLIAMS, BOB",urn:nimsp:transaction,77726
"SOLON, SAM G",urn:nimsp:transaction,138378
"VEAZEY, ROBERT FORREST",urn:nimsp:transaction,102897
"WATTS, DOUGLAS",urn:nimsp:transaction,63525
"OCONNELL, BRIAN A",urn:nimsp:transaction,137493
"PERRY, STEPHEN D",urn:nimsp:transaction,32781
"LOTSON, GRIFFIN",urn:nimsp:transaction,38192
"SENDRA, MARY ANSELMO",urn:nimsp:transaction,139528
Charles M Prignano (R),urn:fec:transaction,N00004712
"SCHUERER, NEAL",urn:nimsp:transaction,19010
"CALLAHAN, MICHAEL J",urn:nimsp:transaction,12329
"SIMS, JERRY",urn:nimsp:transaction,19269
"HILEMAN, RICHARD L",urn:nimsp:transaction,25707
"ROSS, JAMES",urn:nimsp:transaction,30516
"BLAZECK, JIM",urn:nimsp:transaction,105146
Kevin R Gowen Sr (R),urn:fec:transaction,N00002935
"KARLOCK, JIM",urn:nimsp:transaction,103012
"RENZI, DAVID A",urn:nimsp:transaction,21923
"WERNER, ED",urn:nimsp:transaction,132186
"MENDENHALL, KRIS",urn:nimsp:transaction,78218
Gerald Carver Henley (R),urn:fec:transaction,N00003598
"RICE, CAROLYN A",urn:nimsp:transaction,99338
"STAUBER, JIM",urn:nimsp:transaction,70353
"THOMAS, JOHN H",urn:nimsp:transaction,2185
"VIGIL, ROLAND",urn:nimsp:transaction,92630
"COUNSELL, RON",urn:nimsp:transaction,127824
"NUNN, ALBERT NELSON",urn:nimsp:transaction,81040
Roland Burris (D),urn:fec:transaction,N00015389
"LUTKE, MAX",urn:nimsp:transaction,101616
"MORGAN, ALISHA T",urn:nimsp:transaction,4765
Charles W (Chuck) Byrd (D),urn:fec:transaction,N00024860
"COOLEY, KEN",urn:nimsp:transaction,27655
Randy Altschuler (R),urn:fec:transaction,N00031058
"LEAVELLE JR, THOMAS (T J)",urn:nimsp:transaction,49781
"SEVCIK, BOB",urn:nimsp:transaction,106047
Zachary T Space (D),urn:fec:transaction,N00027902
"STIMPSON, TINA M",urn:nimsp:transaction,19640
"WHITE, BENTON",urn:nimsp:transaction,75996
"BARRASSE, MICHAEL J",urn:nimsp:transaction,105119
"GRAMPSAS, TONY",urn:nimsp:transaction,14433
"JONES, MIA",urn:nimsp:transaction,9064
"MUNT, JANET",urn:nimsp:transaction,137322
"KEYE, HARVEY",urn:nimsp:transaction,15813
"PURINTON, TIMOTHY A",urn:nimsp:transaction,137848
"BARDEN JR, JAMES E",urn:nimsp:transaction,133182
"ELLIS, TYRONE",urn:nimsp:transaction,397
"MORGAN, CONNIE",urn:nimsp:transaction,17344
"HARRELL JR, GLENN T",urn:nimsp:transaction,14758
"LEE, STAN",urn:nimsp:transaction,5149
"CANNON, TIMOTHY",urn:nimsp:transaction,134138
"MOSLEY, DEAN",urn:nimsp:transaction,35229
"REYNOLDS, CHERYL",urn:nimsp:transaction,52254
"HORNER, JOE",urn:nimsp:transaction,38077
"RASCON, LAWRENCE",urn:nimsp:transaction,92487
James W Huidekoper (D),urn:fec:transaction,N00006256
"PETERSON, TRUDY",urn:nimsp:transaction,70182
"BOEHMER, CURTIS J",urn:nimsp:transaction,65580
"LUKE, CHARLES",urn:nimsp:transaction,116192
"SHULTS, CHARLES W",urn:nimsp:transaction,28169
"OFFICER, CARL E",urn:nimsp:transaction,139521
"STEPHENS, TAYLOR",urn:nimsp:transaction,30746
"FRISKE, FRED",urn:nimsp:transaction,54456
"PETROLATI, THOMAS M",urn:nimsp:transaction,956
Michael Benjamin (R),urn:fec:transaction,N00000927
"TILLMAN, DEB (COMMITTEE 1)",urn:nimsp:transaction,106163
"LAJZA, JOHN",urn:nimsp:transaction,122320
"COWLING, KEN",urn:nimsp:transaction,4242
"KINCER, G C",urn:nimsp:transaction,54221
"SEVERSON, GALE",urn:nimsp:transaction,42922
"LIPMAN, SUMNER H",urn:nimsp:transaction,63088
"HARGROVE, STEVEN R",urn:nimsp:transaction,14741
"DANE, TONY",urn:nimsp:transaction,94093
Jamie Jacob Morgan (R),urn:fec:transaction,N00025205
"PURCELL, BEN",urn:nimsp:transaction,38418
"LEONARD, BARBARA M",urn:nimsp:transaction,108533
Jack Cherry (D),urn:fec:transaction,N00005904
"MONTEIRO, A TONY",urn:nimsp:transaction,90163
"MOORE, RICHARD L",urn:nimsp:transaction,17325
"TURNIPSEED, TIM",urn:nimsp:transaction,116639
"DILLARD, JONATHAN M",urn:nimsp:transaction,78163
Jarrod Tudor (D),urn:fec:transaction,N00003514
"KILLIAN, MANN",urn:nimsp:transaction,36174
Nicholas Ragone (R),urn:fec:transaction,N00001036
"HAMILTON, DOUGLAS A",urn:nimsp:transaction,32490
"KLARIC, KYLE",urn:nimsp:transaction,105613
"WOLF, PAM",urn:nimsp:transaction,70525
"WARD, PATRICK M",urn:nimsp:transaction,108787
"HANSON, BRUCE",urn:nimsp:transaction,14716
"POLLINA, ANTHONY",urn:nimsp:transaction,122518
"WILLETTE, ROBERT (BOB)",urn:nimsp:transaction,10024
Chuck Davis (R),urn:fec:transaction,N00029420
"JENSEN, PHILIP",urn:nimsp:transaction,118745
"KEE, STEVEN",urn:nimsp:transaction,25566
"CAMPBELL, NELSON",urn:nimsp:transaction,12367
"SEXTON, WAYNE",urn:nimsp:transaction,81211
"ODONNELL JR, JAMES F",urn:nimsp:transaction,137501
James Darwin Carter (R),urn:fec:transaction,N00002088
"PHILIPS, OLIN RAY",urn:nimsp:transaction,110764
"LOPEZ, LINDA",urn:nimsp:transaction,4376
"VAN OS, DAVID",urn:nimsp:transaction,116647
James P Krapf (R),urn:fec:transaction,N00012125
"DEMICHELIS JR, JAMES",urn:nimsp:transaction,42528
Al Salvi (R),urn:fec:transaction,N00004699
"MITCHELL III, JAMES E",urn:nimsp:transaction,120842
Michael Coles (D),urn:fec:transaction,N00002545
"WEST, STEPHEN E",urn:nimsp:transaction,125755
"JANOSEK, TERRY",urn:nimsp:transaction,105022
"REED, C C & T, MR",urn:nimsp:transaction,18446
"JACKLEY, BROCK",urn:nimsp:transaction,124269
"REHWINKEL VASILINDA, MICHELLE",urn:nimsp:transaction,9859
"MINAR, STEVE",urn:nimsp:transaction,17205
"URBAN, DANIEL",urn:nimsp:transaction,99556
"VAHEDI, TYRONE",urn:nimsp:transaction,27779
Randolph A. Credico (D),urn:fec:transaction,N00031448
Perry Joseph Mitchell (D),urn:fec:transaction,N00032094
"GARDNER, THOMAS R",urn:nimsp:transaction,60594
"JENNEY, CHARLES B",urn:nimsp:transaction,52374
"STOCK, LINCOLN F",urn:nimsp:transaction,94591
"CARDIN, JON S",urn:nimsp:transaction,5318
"HOWARD, EARLE",urn:nimsp:transaction,49711
"EVANS, RANDY",urn:nimsp:transaction,135090
"LEEPER, ROBERT J",urn:nimsp:transaction,560
"COTNER, MICHELE",urn:nimsp:transaction,124688
"BROSTE, DOUGLAS R",urn:nimsp:transaction,12069
"FRANDSEN, MATT",urn:nimsp:transaction,118582
"TAFOYA, AMBER",urn:nimsp:transaction,139675
"TAYLOR, CRAIG",urn:nimsp:transaction,19855
Pat Quinn (D),urn:fec:transaction,N00004851
"FORTUNATO, PHIL",urn:nimsp:transaction,124244
John Tate (R),urn:fec:transaction,N00002143
"JONES, AL",urn:nimsp:transaction,116094
"STOSBERG, DON",urn:nimsp:transaction,54915
"MEHRINGER, MARK",urn:nimsp:transaction,139682
"HANCOCK, DONNA",urn:nimsp:transaction,25725
"DEGROFF, TODD S",urn:nimsp:transaction,49540
"LOWE, GEORGE",urn:nimsp:transaction,136724
"CAREY, OWEN THOMAS",urn:nimsp:transaction,134161
"AMARAL, ZANDRA",urn:nimsp:transaction,11155
"ANZEVENO JR, FRANK J",urn:nimsp:transaction,11238
Robert A G Monks (R),urn:fec:transaction,N00000477
"CAMERON, JEANNE M",urn:nimsp:transaction,12350
Bill Schuette (R),urn:fec:transaction,N00004083
"LEONE, CARLO",urn:nimsp:transaction,4532
John Thomas (R),urn:fec:transaction,N00005880
"HAWKINS, CHARLES R",urn:nimsp:transaction,1018
"HART, STEVEN J",urn:nimsp:transaction,108461
"SALIMAN, TODD",urn:nimsp:transaction,18835
"SCHULZ, MIKE",urn:nimsp:transaction,8166
"FRANKS, KENNETH D",urn:nimsp:transaction,115892
"MCSHERRY, GX",urn:nimsp:transaction,17015
"SMITH, STEPHEN M",urn:nimsp:transaction,116552
"YOUNG, PAUL ROBERT",urn:nimsp:transaction,63576
"AKIN, MARGIE",urn:nimsp:transaction,27698
"BRODERICK, MICHAEL L",urn:nimsp:transaction,90839
"MOSEL, DARRELL H",urn:nimsp:transaction,70083
Brian S Roy (D),urn:fec:transaction,N00009655
"TOELKES, ROGER E",urn:nimsp:transaction,52410
"NEUNER, DEBRA (DEB) L",urn:nimsp:transaction,73048
Paul A Harvey (R),urn:fec:transaction,N00003349
"HESS, PAUL",urn:nimsp:transaction,129972
"NEWMAN, JARED",urn:nimsp:transaction,110743
Scott Bundgaard (R),urn:fec:transaction,N00025509
"KIDD, DAVID",urn:nimsp:transaction,99001
"KERR, JOHN",urn:nimsp:transaction,15802
"HENRY, JAMES M (JIM)",urn:nimsp:transaction,114046
"MCKEVITT, THOMAS",urn:nimsp:transaction,7974
Marvin Dunn (D),urn:fec:transaction,N00011574
"PALSROK, DAVID",urn:nimsp:transaction,3545
Lupo (Sonny) Carlota (R),urn:fec:transaction,N00003214
"WOOTEN, WILEY P",urn:nimsp:transaction,81479
"BOTHWELL, GLIDA",urn:nimsp:transaction,11910
"JACOBS, ROB",urn:nimsp:transaction,69806
"ETCHIESON, KEN",urn:nimsp:transaction,101426
"STUVA, BOB",urn:nimsp:transaction,103199
"PLEASANT, W C (BUBBA)",urn:nimsp:transaction,2813
"PLANTE, ROBERT F",urn:nimsp:transaction,137791
"VAN KREVELEN, SCOTT",urn:nimsp:transaction,101887
Miles S Rapoport (D),urn:fec:transaction,N00000574
"HARRY, MARTIN A",urn:nimsp:transaction,115993
"SCHWERIN, DON",urn:nimsp:transaction,125527
"TAYLOR, EDWARD",urn:nimsp:transaction,67243
"EDENSWORD, BRET",urn:nimsp:transaction,124779
"KISSELL, DON R",urn:nimsp:transaction,15871
"PASEUR, DEBORAH BELL",urn:nimsp:transaction,137679
"KNOTT, BRENT",urn:nimsp:transaction,125122
"BREWER, STEPHEN",urn:nimsp:transaction,907
Mark J Leyva (R),urn:fec:transaction,N00003796
"EGAN, MICHAEL J",urn:nimsp:transaction,13608
"WARD, BOB",urn:nimsp:transaction,28003
"CHOATE JR, THOMAS H",urn:nimsp:transaction,24690
Sidney J Stone Jr (L),urn:fec:transaction,N00013001
"JACKSON, J RUSSELL",urn:nimsp:transaction,6820
"COX, JOHN A",urn:nimsp:transaction,120599
"OLSON, ROBERT",urn:nimsp:transaction,132039
"BEUS, JOHN",urn:nimsp:transaction,118375
"MARKEY, MARGARET M",urn:nimsp:transaction,3771
Pat Dewine (R),urn:fec:transaction,N00027525
"SCARLETT, BILL",urn:nimsp:transaction,132094
"STEGER, HERMAN",urn:nimsp:transaction,19579
"SARNOWSKI, JOHN",urn:nimsp:transaction,128269
"MURPHREE, JIM",urn:nimsp:transaction,137335
Eugene J McCarthy (D),urn:fec:transaction,N00002109
"DANIEL, GEORGE B",urn:nimsp:transaction,80468
"SARRA, BERNARD A (COMMITTEE 1)",urn:nimsp:transaction,106008
"DECARLO, DIANE",urn:nimsp:transaction,134745
"HOLT, JERI",urn:nimsp:transaction,103181
"SPENCE JR, ROBERT",urn:nimsp:transaction,106095
Michael M Murphy (R),urn:fec:transaction,N00000227
"LAPLANTE, R BROOKS",urn:nimsp:transaction,16121
"STOVER, NORMAN",urn:nimsp:transaction,138505
James W Walker Jr (D),urn:fec:transaction,N00001859
"MILLIGAN, JIMMY",urn:nimsp:transaction,24287
"MOFFETT, DAVID",urn:nimsp:transaction,17263
Nicki Englander Grossman (D),urn:fec:transaction,N00010532
WILL THE LAST MODERATE,urn:nimsp:transaction,102891
"RABAS, CAL R",urn:nimsp:transaction,128230
"HUFFMAN, DAVE (COMMITTEE 1)",urn:nimsp:transaction,105553
Michael Irv Sprague (D),urn:fec:transaction,N00009203
"COLLINS, CONNIE G",urn:nimsp:transaction,49497
"WELLS, JOHN",urn:nimsp:transaction,110963
"WHARTON, ED",urn:nimsp:transaction,81413
"DOBBS, MACK",urn:nimsp:transaction,115822
"HENDRICKS, GAYNELL",urn:nimsp:transaction,135837
"WYANT, DONALD",urn:nimsp:transaction,103036
Timothy Ray Droogsma (R),urn:fec:transaction,N00004438
"SCHECHTER, J D (DUKE)",urn:nimsp:transaction,25930
"MURPHY, LISA",urn:nimsp:transaction,17471
"SABO, JULIE",urn:nimsp:transaction,18815
"FORTENBERRY, KEN H",urn:nimsp:transaction,80566
"CHAFFIN, STEVEN",urn:nimsp:transaction,98570
"HERMENS, TAN",urn:nimsp:transaction,102851
"HOLM, MARGARET C",urn:nimsp:transaction,125012
"SCHIFFER, JOHN",urn:nimsp:transaction,157
"PLACEK, LYNDA R",urn:nimsp:transaction,137788
"CASSIDY, VINTON",urn:nimsp:transaction,12521
"LEVY, C W (LEVI)",urn:nimsp:transaction,120484
"KNIGHTLY, MERRIE C",urn:nimsp:transaction,63032
"HARTY, MARTY",urn:nimsp:transaction,85644
"MADRID, RUBEN NICHOLAS",urn:nimsp:transaction,25631
"BRUEHL, CURTIS",urn:nimsp:transaction,101316
"PICKETT, JOE C",urn:nimsp:transaction,1198
"SPRAGUE, RANDALL D",urn:nimsp:transaction,27828
