"DONOVAN, JOHN",urn:nimsp:transaction,13438
"HERNANDEZ, ELIZABETH",urn:nimsp:transaction,4946
"STAFFORD, JOHN",urn:nimsp:transaction,73276
"KUHN, EARNIE",urn:nimsp:transaction,16035
"GETACHEW, ALEXANDER ASSEFA",urn:nimsp:transaction,60601
"ROBERTS, CHRISTOPHER S",urn:nimsp:transaction,99357
"SMITH, SCOTT",urn:nimsp:transaction,24485
"CHIZMAR, PAUL A",urn:nimsp:transaction,134331
"STATON, BOB",urn:nimsp:transaction,110877
Darrell McKigney (R),urn:fec:transaction,N00004474
Ruel Michael Dunn (R),urn:fec:transaction,N00026239
"BLANAS, HARRY",urn:nimsp:transaction,133636
"JERNIGAN, BUCKY",urn:nimsp:transaction,80797
"PALMATIER, DUNCAN",urn:nimsp:transaction,44558
Andrew S Phipps (R),urn:fec:transaction,N00009646
"LEWIS, RONALD E (RON)",urn:nimsp:transaction,136661
"LYONS, JOSEPH M",urn:nimsp:transaction,27361
"MOSSBURG, MATT",urn:nimsp:transaction,60860
"MINOR, MARY P",urn:nimsp:transaction,120841
"GARDNER, THOMAS R",urn:nimsp:transaction,60593
Burt Saunders (3),urn:fec:transaction,N00029624
"CUEVAS, SCOTTIE",urn:nimsp:transaction,2250
Kevin John Meara (D),urn:fec:transaction,N00008606
"DODERER, MINNETTE",urn:nimsp:transaction,42537
"MUNSON, DONALD F",urn:nimsp:transaction,1430
"SCHINDELE, KAREN M",urn:nimsp:transaction,44641
"GORDON, ROBERT M",urn:nimsp:transaction,6396
"PERALTA, SAL",urn:nimsp:transaction,103207
Randy Demmer (R),urn:fec:transaction,N00029079
"BARBOUR, CHARLES",urn:nimsp:transaction,133178
"PECK, MICHAEL E",urn:nimsp:transaction,120871
"GOLDING, WILLIAM M",urn:nimsp:transaction,3027
William J Mitchell (R),urn:fec:transaction,N00007029
"WELTZER, EUGENE P",urn:nimsp:transaction,125753
William R (Bill) Valentine (R),urn:fec:transaction,N00006540
Lee McGroarty (R),urn:fec:transaction,N00031196
"HODGES, MERLE A",urn:nimsp:transaction,52143
"CARNAHAN, BEN",urn:nimsp:transaction,72517
"JENKINS JR, DALE C",urn:nimsp:transaction,136159
Wayne Kuipers (R),urn:fec:transaction,N00031328
"ARRIOLA, JOHN",urn:nimsp:transaction,11274
"MAGOVERN, ROBERT A",urn:nimsp:transaction,136798
"ROTRAMBLE, BRENDA BROWN",urn:nimsp:transaction,116454
"BENOIT, NANCY L",urn:nimsp:transaction,11648
"BEAUDETTE, STEPHEN R",urn:nimsp:transaction,5360
"LEONARD, BILL",urn:nimsp:transaction,16263
Chuck Richard Pardue (D),urn:fec:transaction,N00002635
"HOLLAND, DONALD H",urn:nimsp:transaction,15089
"BRIGGS, BOB",urn:nimsp:transaction,12037
"MCCORMACK, GILBERT",urn:nimsp:transaction,122386
"REYES-HEAWARD, ADELLE",urn:nimsp:transaction,125458
"VERGOBBI, JIM",urn:nimsp:transaction,44771
"WATSON, CYNTHIA B",urn:nimsp:transaction,20493
"HUMBERT, LEE",urn:nimsp:transaction,77603
Jack Coleman (R),urn:fec:transaction,N00003293
Charles (Champ) Walker Jr (D),urn:fec:transaction,N00024935
"MERTZ, MAYBELLE",urn:nimsp:transaction,52507
"DUNLEAVY, JAMES P",urn:nimsp:transaction,62759
"HARP, JOHN G",urn:nimsp:transaction,77110
"SMITH, BILLY RAY",urn:nimsp:transaction,19334
Reinhold Steven Gulke (R),urn:fec:transaction,N00007288
"DRURY, LARRY D",urn:nimsp:transaction,46884
"KRACHE, DAVE",urn:nimsp:transaction,38158
"WILLIAMS, CHARLES D",urn:nimsp:transaction,35662
Bill White (D),urn:fec:transaction,N00030605
Bobby Ray Hall (D),urn:fec:transaction,N00002238
"THOMPSON, TONI",urn:nimsp:transaction,27750
Robert F Smith (I),urn:fec:transaction,N00001436
Joy Picus (D),urn:fec:transaction,N00010364
Craig Brian Barkacs (D),urn:fec:transaction,N00009602
"AQUINO, HENRY JAMES C",urn:nimsp:transaction,4781
"INGHAM, MARTIN T",urn:nimsp:transaction,62964
David Barrett Cohen (R),urn:fec:transaction,N00011519
"TYMNIAK, PAUL M",urn:nimsp:transaction,32659
"SANCHEZ, RICHARD RAY",urn:nimsp:transaction,18869
"WARNER, DAN",urn:nimsp:transaction,106205
"GARNOS, GORDON R",urn:nimsp:transaction,112549
"HAIRE, D J",urn:nimsp:transaction,80666
"LAZECHKO, MOLLY",urn:nimsp:transaction,16194
"LARLEE, JESSICA J",urn:nimsp:transaction,63055
"CHAMBERS, TOM",urn:nimsp:transaction,12568
"SNOW, CARMEN",urn:nimsp:transaction,119170
"AGEE, SARAH S",urn:nimsp:transaction,24230
"MAYBERRY, CRAIG L",urn:nimsp:transaction,125247
"SEBERT, LOU",urn:nimsp:transaction,4000
"MOORE, AUSTIN C",urn:nimsp:transaction,130118
Lisa G Renshaw (R),urn:fec:transaction,N00001939
"HENDERSON, BRODERICK",urn:nimsp:transaction,1670
Raymond Eugene McMurrey (D),urn:fec:transaction,N00029356
"JOHNSON, MARK",urn:nimsp:transaction,52488
"PATE, ROBERT C",urn:nimsp:transaction,116357
Mike Hellon (R),urn:fec:transaction,N00028115
"COX, GARY",urn:nimsp:transaction,25875
"LESSNER, DAVID A",urn:nimsp:transaction,60781
"FLYNN, DAVID G",urn:nimsp:transaction,3452
"YOUNG, DONALD",urn:nimsp:transaction,99658
"ISBELL, DAVID",urn:nimsp:transaction,94274
"KENNEY, JOHN",urn:nimsp:transaction,38139
"STOUT, CECIL",urn:nimsp:transaction,114368
Elaine Sue Carlson (R),urn:fec:transaction,N00028075
Gary Miller (R),urn:fec:transaction,N00006954
"POWELL, MICHAEL C",urn:nimsp:transaction,125421
